Название,Марка,Модель,"Пробег, км","Мощность двигателя, л","Мощность двигателя, л.с",Год выпуска,"Цена от, руб","Цена до, руб",Цвет кузова,Коробка передач,Привод,Тип топлива,Город продажи
Chery Tiggo 4 I Рестайлинг,Chery,Tiggo 4 I Рестайлинг,125 000,1.5,113,2022,Not available,Not available,красный,механика,передний,Бензин,Москва
Chery Arrizo 8,Chery,Arrizo 8,19 596,1.6,186,2023,Not available,Not available,синий,робот,передний,Бензин,Москва
Chery Tiggo 4 I Рестайлинг 2,Chery,Tiggo 4 I Рестайлинг 2,Новый,1.5,147,2025,1 771 000 ,Not available,Ultra,робот,передний,Бензин,Москва
Haval H3,Haval,H3,Новый,1.5,143,2024,2 799 000,2 799 000,Premium,робот,передний,Бензин,Москва
Haval H3,Haval,H3,Новый,1.5,177,2024,2 248 577 ,Not available,Tech+,робот,полный,Бензин,Москва
Geely Atlas Pro,Geely,Atlas Pro,17 744,1.5,177,2023,Not available,Not available,белый,робот,полный,Бензин,Химки
Geely Okavango I Рестайлинг,Geely,Okavango I Рестайлинг,13 375,2.0,200,2023,2 899 000,2 899 000,синий,робот,передний,Бензин,Москва
Haval F7 II,Haval,F7 II,Новый,2.0,192,2025,2 274 300 ,Not available,Elite,робот,полный,Бензин,Химки
Chery Tiggo 4 I Рестайлинг 2,Chery,Tiggo 4 I Рестайлинг 2,Новый,1.5,147,2024,2 450 000,2 450 000,Prime,робот,передний,Бензин,Москва
Haval H3,Haval,H3,Новый,1.5,143,2024,2 149 000 ,Not available,Premium,робот,передний,Бензин,Балашиха
Chery Tiggo 4 I Рестайлинг,Chery,Tiggo 4 I Рестайлинг,99 667,1.5,113,2022,990 000,990 000,серый,вариатор,передний,Бензин,Москва
Chery Tiggo 8 Pro I,Chery,Tiggo 8 Pro I,56 000,1.6,186,2021,1 600 000,1 600 000,белый,робот,передний,Бензин,Москва
Chery Tiggo 8 Pro Max I Рестайлинг,Chery,Tiggo 8 Pro Max I Рестайлинг,16 500,2.0,197,2023,Not available,Not available,чёрный,робот,полный,Бензин,Москва
Geely Preface I,Geely,Preface I,Новый,2.0,200,2024,2 750 006 ,Not available,Flagship,робот,передний,Бензин,Москва
Geely Tugella I Рестайлинг,Geely,Tugella I Рестайлинг,40 000,2.0,238,2022,2 400 000,2 400 000,белый,автомат,полный,Бензин,Москва
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,245,2024,5 120 000,5 120 000,Ultra,автомат,полный,Бензин,Москва
Haval F7 II,Haval,F7 II,Новый,2.0,192,2025,2 274 300 ,Not available,Elite,робот,полный,Бензин,Москва
