,brand,color,color_group,gearbox,drive,fuel_type,city,city_group,base_model,car_class,mileage,power_1,power_2,model_popularity,age,generation,is_new,is_restyling,is_pro,is_max,is_premium,price
1102,Geely,зелёный,Холодные,автомат,полный,Бензин,Москва,Москва,Monjaro,Crossover,10,2.0,238,319,0.0,1,False,1,0,0,1,3750000.0
1103,Geely,серебристый,Нейтральные,робот,передний,Бензин,Москва,Москва,Coolray,Crossover,10,1.5,147,124,1.0,1,False,1,0,0,0,2400000.0
1104,Geely,серый,Нейтральные,робот,передний,Бензин,Москва,Москва,Cityray,Other,42,1.5,147,61,1.0,1,False,0,0,0,0,2245000.0
1105,Geely,синий,Холодные,автомат,передний,Бензин,Москва,Москва,Emgrand,Sedan,1 267,1.5,122,31,2.0,2,False,0,0,0,0,1790000.0
1106,Chery,серебристый,Нейтральные,механика,передний,Бензин,Москва,Москва,Tiggo,Other,72 000,1.5,152,270,5.0,1,False,0,0,0,0,649000.0
1107,Geely,жёлтый,Тёплые,автомат,передний,Бензин,Москва,Москва,Atlas,SUV,10 000,1.5,177,132,3.0,1,False,0,1,0,0,1386000.0
1108,Geely,зелёный,Холодные,автомат,полный,Бензин,Москва,Москва,Monjaro,Crossover,36,2.0,238,319,0.0,1,False,1,0,0,1,4050000.0
1109,Chery,чёрный,Нейтральные,робот,полный,Бензин,Москва,Москва,Tiggo,Other,6 128,1.6,150,270,1.0,1,False,1,1,1,0,2457000.0
1110,Haval,чёрный,Нейтральные,робот,передний,Бензин,Москва,Москва,Jolion,Crossover,18 693,1.5,143,32,2.0,1,False,0,0,0,0,1688000.0
1111,Geely,зелёный,Холодные,робот,передний,Бензин,Москва,Москва,Preface,Sedan,21 000,2.0,190,21,2.0,1,False,1,0,0,0,3500000.0
1112,Chery,чёрный,Нейтральные,механика,передний,Бензин,Вербилки,Города-спутники,Very,Other,136 000,1.5,109,31,14.0,1,False,0,0,0,0,319000.0
1113,Chery,белый,Нейтральные,робот,полный,Бензин,Тимохово,Города-спутники,Tiggo,Other,118 706,2.0,197,270,2.0,1,False,0,1,1,0,1550000.0
1114,Geely,чёрный,Нейтральные,автомат,полный,Бензин,Исаково,Города-спутники,Atlas,SUV,18 378,2.0,200,132,1.0,2,False,0,0,0,0,2970000.0
